Datetime,Weather,Wind_speed,humidity,temperature
2018-12-27 06:00:00,6.0,4.85,68.5,18.5
2018-12-27 06:30:00,6.0,4.85,38.0,19.0
2018-12-27 07:00:00,6.0,4.35,40.5,18.5
2018-12-27 07:30:00,6.0,4.1,42.0,18.0
2018-12-27 08:00:00,6.0,3.8499999999999996,39.0,18.0
2018-12-27 08:30:00,6.0,3.6,36.0,18.0
2018-12-27 09:00:00,6.0,3.35,99.0,19.5
2018-12-27 09:30:00,6.0,4.4,71.0,20.5
2018-12-27 10:00:00,6.0,5.95,51.5,21.0
2018-12-27 10:30:00,6.0,6.2,60.0,21.0
2018-12-27 11:00:00,6.0,6.7,62.0,21.0
2018-12-27 11:30:00,6.0,7.2,64.0,21.0
2018-12-27 12:00:00,6.0,7.699999999999999,62.0,22.0
2018-12-27 12:30:00,6.0,8.2,64.0,22.0
2018-12-27 13:00:00,6.0,8.7,64.0,21.5
2018-12-27 13:30:00,5.5,9.0,68.0,21.0
2018-12-27 14:00:00,5.0,9.3,66.0,21.5
2018-12-27 14:30:00,5.0,9.3,64.0,22.0
2018-12-27 15:00:00,5.0,9.55,62.0,22.0
2018-12-27 15:30:00,5.0,9.55,62.0,21.5
2018-12-27 16:00:00,5.0,9.8,64.0,21.0
2018-12-27 16:30:00,5.0,9.55,64.0,21.0
2018-12-27 17:00:00,5.0,9.55,64.0,21.0
2018-12-27 17:30:00,5.0,9.55,66.0,20.5
2018-12-27 18:00:00,5.0,8.75,68.0,20.0
2018-12-27 18:30:00,5.0,7.949999999999999,68.0,19.5
2018-12-27 19:00:00,5.0,7.7,68.0,19.0
2018-12-27 19:30:00,5.0,6.7,68.0,19.0
2018-12-27 20:00:00,5.0,5.4,70.0,18.5
2018-12-27 20:30:00,5.0,5.4,72.0,18.0
2018-12-27 21:00:00,5.0,5.95,72.0,18.0
2018-12-27 21:30:00,5.0,5.95,72.0,18.0
2018-12-27 22:00:00,5.0,5.7,72.0,18.0
2018-12-27 22:30:00,5.0,6.2,74.5,17.5
2018-12-27 23:00:00,5.0,6.7,77.0,17.0
2018-12-27 23:30:00,5.0,6.7,74.5,17.0
2018-12-28 00:00:00,5.0,6.7,70.0,17.5
2018-12-28 00:30:00,5.0,6.7,70.0,17.5
2018-12-28 01:00:00,5.0,6.95,72.0,17.0
2018-12-28 01:30:00,5.0,7.45,70.0,17.5
2018-12-28 02:00:00,5.0,7.2,67.5,17.5
2018-12-28 02:30:00,5.0,6.95,69.5,17.0
2018-12-28 03:00:00,5.0,7.2,74.5,17.0
2018-12-28 03:30:00,5.0,7.2,74.5,17.0
2018-12-28 04:00:00,5.0,6.7,69.5,17.0
2018-12-28 04:30:00,5.0,6.45,69.5,17.0
2018-12-28 05:00:00,5.0,6.7,72.0,17.0
2018-12-28 05:30:00,5.0,6.95,69.5,17.0
2018-12-28 06:00:00,5.0,6.7,67.0,17.0
2018-12-28 06:30:00,5.0,6.7,69.5,17.0
2018-12-28 07:00:00,5.0,7.2,72.0,17.0
2018-12-28 07:30:00,5.0,7.2,72.0,17.0
2018-12-28 08:00:00,5.0,6.7,72.0,17.0
2018-12-28 08:30:00,5.0,6.45,72.0,17.5
2018-12-28 09:00:00,5.0,6.2,74.5,18.0
2018-12-28 09:30:00,5.0,6.2,77.0,18.0
2018-12-28 10:00:00,5.0,6.95,72.0,19.5
2018-12-28 10:30:00,5.0,7.2,72.0,20.0
2018-12-28 11:00:00,5.0,7.949999999999999,68.0,20.5
2018-12-28 11:30:00,5.0,8.2,68.0,21.0
2018-12-28 12:00:00,5.0,8.2,68.0,21.0
2018-12-28 12:30:00,5.0,8.45,68.0,21.0
2018-12-28 13:00:00,5.0,8.45,68.0,21.0
2018-12-28 13:30:00,5.0,8.45,68.0,21.0
2018-12-28 14:00:00,5.0,8.45,68.0,21.0
2018-12-28 14:30:00,5.0,8.45,68.0,21.0
2018-12-28 15:00:00,5.0,8.45,68.0,21.0
2018-12-28 15:30:00,5.0,8.2,68.0,21.0
2018-12-28 16:00:00,5.0,8.2,70.5,21.0
2018-12-28 16:30:00,5.0,8.45,72.5,20.5
2018-12-28 17:00:00,5.0,8.45,72.0,20.0
